region,organisation,id_text,unique_resource_id,title,language,abstract,topic_category,keywords,temporal_extent_start,temporal_extent_end,dataset_reference_date,lineage,w_long,s_lat,e_long,n_lat,spatial_reference_system,responsible_organisation_name,contact_mail_address,responsible_party_role,frequency_update,limitations_access,use_constraints,data_format,accuracy,metadata_date,metadata_point_contact,resource_type,original_title,id,status
FK,FC,103,FK-FC-103,Falkland Islands plant data master,eng,"Native Plants Programme. OTEP funded project between 2009 and 2011. This project built on FAL 401, including continuing to improve the knowledge regarding distribution and status of threatened plant species along with suggested management actions for all IPAs. The habitat classification system was updated using the improved knowledge gained from vegetation surveys at further sites across the Islands. Species and community-level data for vascular flora of the Falkland Islands. Reference code: FAL 601",biota,"Falkland Islands, plants, vascular, native, invasive, herbarium, red listing, threatened species, flora",2009-01-01,2011-12-31,2014,"All data were collected using handheld personal digital assistants (PDAs) (Fujitsu-Siemens LOOX N560) with an in-built Global Positioning System (GPS) to record survey data in the field. Running ArcPad software (Version 7.1) developed by ESRI (ESRI, 2009), a set of dropdown menus and freestyle text fields developed with the UKOTs team at RBG Kew and used in order that survey data could be collected in a consistent manner.
",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1)Falklands Conservation
Jubilee Villas
Ross Road
Stanley
FIQQ 1ZZ
Falkland Island


2) Royal Botanic Gardens Kew, Richmond
Surrey
TW9 3AB 
United Kingdom","1) CO@conservation.org.fk

2) r.upson@kew.org","1) owner, custodian
2) resource provider, originator, distributor",not planned,"Restricted, send data request to data owner",When using the data cite in the acknowledgements: Falklands Conservation and Kew Royal Botanic Gardens.,"csv, excel",majority from 1 to 10 m.  c. 2 % of records from 10 to 1000 m,2014-06-23,R.Upson@kew.org,Dataset,FI_plant_data_master,103,1
FK,FC,104,FK-FC-104,Falkland Islands Protected Areas Strategy,eng,Falkland Islands Protected Areas Strategy: Cooperative Management of Biological Diversity. OTEP funded project between 2011 and 2014. Reference code: FAL 803,biota,"Falkland Islands, protected area, protected area strategy, biodiversity",2011-01-01,2014-12-31,2014,"This project will provide the foundation for creating a network of protected areas in the Falkland Islands. Drawing upon efforts to identify key biodiversity areas and the knowledge of landowners, the project will provide a framework for building a comprehensive network of protected areas in partial fulfilment of the Falkland Islands Biodiversity Strategy and to help meet existing international commitments. It will develop decision-making tools, management policies, mechanisms for maintaining and enhancing biodiversity on private and public lands, and tools to support the monitoring of those areas. Key lessons will be shared among UKOTs, supported by practical training and mentoring.",61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1)Falklands Conservation
Jubilee Villas
Ross Road
Stanley
FIQQ 1ZZ
Falkland Island


2) Royal Botanic Gardens Kew, Richmond
Surrey
TW9 3AB 
United Kingdom",1) CO@conservation.org.fk,"1) resource provider, originator, distributor",unknown,Open Access,Open Access,report,unknown,2014-12-20,imarengo@env.institute.ac.fk,Report,NA,104,1
FK,FC,105,FK-FC-105,Falkland Islands plant data master,eng,2011-2013 MBZ- (Mohamed bin Zayed Species Conservation Fund) funded project - assessing the status of Nassauvia falklandica. Surveying new potentially suitable areas for the globally threatened endemic Nassauvia falklandica -previous data gathered on its habitat preferences and species distribution modelling carried out at RBG Kew. Species and community-level data for vascular flora of the Falkland Islands. Reference code: Project 11253176,biota,"Falkland Islands, Nassauvia falklandica, distribution",2012-01-01,2013-12-31,2014,"All data were collected using handheld personal digital assistants (PDAs) (Fujitsu-Siemens LOOX N560) with an in-built Global Positioning System (GPS) to record survey data in the field. Running ArcPad software (Version 7.1) developed by ESRI (ESRI, 2009), a set of dropdown menus and freestyle text fields developed with the UKOTs team at RBG Kew and used in order that survey data could be collected in a consistent manner.
",-60.188039,-51.678112,-59.522143,-51.478887,WGS84,"1)Falklands Conservation
Jubilee Villas
Ross Road
Stanley
FIQQ 1ZZ
Falkland Island s 

2) Royal Botanic Gardens Kew, Richmond
Surrey
TW9 3AB 
United Kingdom","1) CO@conservation.org.fk 
2) r.upson@kew.org","1) owner, custodian
2) resource provider, originator, distributor",not planned,"Restricted, send data request to data owner",When using the data cite in the acknowledgements: Falklands Conservation and Kew Royal Botanic Gardens.,"csv, excel",from 1 to 10 m (c. 1% from 10 to 100 m),2014-06-23,R.Upson@kew.org,Dataset,FI_plant_data_master,105,1
FK,FC,106,FK-FC-106,Falkland Islands plant data master,eng,Native Plants Restoration. Falkland Conservation and Darwin Challenge project funded between 2012 and 2013. Reference code: EIDCF014,biota,"Falkland Islands, seed collecting, monitoring",2012-01-01,2013-12-31,2014,"All data was collected using handheld personal digital assistants (PDAs) (Fujitsu-Siemens LOOX N560) with an in-built Global Positioning System (GPS) to record survey data in the field. Running ArcPad software (Version 7.1) developed by ESRI (ESRI, 2009), a set of dropdown menus and freestyle text fields developed with the UKOTs team at RBG Kew and used in order that survey data could be collected in a consistent manner.
",-59.8449,-52.4481,-57.7175,-51.2335,WGS84,"Falklands Conservation
Jubilee Villas
Ross Road
Stanley
FIQQ 1ZZ
Falkland Islands",CO@conservation.org.fk,"resource provider, originator, distributor ",not planned,"Restricted, send data request to data owner",When using the data cite in the acknowledgements: Falklands Conservation and Darwin Fund Initiative.,"csv, excel",from 1 to 10 m (6 records at 1 km resolution),2014-06-23,R.Upson@kew.org,Dataset,fi_plant_data_master,106,1
FK,DMR,109,FK-DMR-109,Falkland Islands aerial photography survey 1999,eng,An aerial survey was conducted in 1999 by the British Antarctic Survey and commissioned by the Department of Agriculture. The survey covered only 4 areas at different flight heights. The photos are in colour and on paper (not been scanned). ,imagery base maps earth cover,"Falkland Islands, aerial photography, aerial survey",1999-01-01,1999-12-31,1999,"The aerial survey was carried out by the British Antarctic Survey in 1999 and commissioned by the Department of Agriculture. The areas covered by the survey are: Fitzroy with a flight height at 15.000 feet; Harriet to Colorado Pond with flight height at 7.500 feet; Brenton Loch to Port Sussex and Stanley with flight height at 15,000 feet. The photos are in colour, in good quality but they are not scanned digitally. ",-59.0523,-51.8152,-57.7404,-51.6623,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, publisher",not planned,"Restricted, send data request to data owner",Copyright Falkland Islands Government and HMG.,tiff,unknown,2014-07-29,info@mineralresources.gov.fk,Dataset,Falkland Islands aerial photography survey 1999,109,1
FK,FIFD,110,FK-FIFD-110,Harbour Movements Statistics from 2005 to 2014,eng,"The dataseries comprises data on harbour movement of fishing vessels and other vessels (cargos, cruise liners, research vessels etc) recorded by the harbour master in three main different areas in Stanley Harbour, then also in Port William and Berkeley sound.",transportation,"Falkland Islands, marine traffic, harbour movement, vessel, harbour",2005-01-01,2005-12-31,2014,"The data on number of vessels coming into the main harbour areas around Stanley have been collected since 2005 up to today. The vessels are split between fishing and other types such as cargo, seismic, reefers, cruise and yacht. The harbour areas are: Berkeley Sound, Port William, and Stanley harbour which is split into Fipass, Public Jetty, East Jetty and Camber. The figures are per year. ",429939.45,4272802.73,451241.73,4291071.09,UTM 21S WGS84,Falkland Islands Government - Fisheries Department,director@fisheries.gov.fk,"originator, point of contact, resource provider, custodian, distributor, owner",six months,Open Access,No restrictions,"csv, excel",NA,2014-07-29,MJamieson@fisheries.gov.fk,Dataseries,HarbourMovements2005_2014,110,1
FK,EPD,111,FK-EPD-111,Southern Sea Lion census2014,eng,The 2014 southern sea lion census data was carried out in the austral summer and it was a boat survey. Only pups were counted and recorded as dead or alive.,biota,"Falkland Islands, southern sea lion, Otaria flavescens, census ",1930-01-01,2014-12-31,2014,"In the attribute table the fields Alive and Dead refer to pups. Pups were counted as a proxy for population size that is comparable between 1930-2014 from previous works carried out by 
- Thompson, D., Strange, I., Riddy, M. & Duck, C. 2005, The size and status of the population of southern sea lions Otaria flavescens in the Falkland Islands. Biol. Conserv. 121, 357-367. (doi:10.1016/j.biocon.2004.05.008)
- Hamilton, J. E. 1939 A second report on the southern sea lion (Otaria byronia) (de Blainville). Discovery Reports 19. , 121-164. Data collected in 
014 were published: Baylis AMM, Orben RA, Arnould JPY, Christiansen F, Hays GC, Staniland IJ (2015) Disentangling the cause of a catastrophic population decline in a large marine mammal. Ecology",-61.1932,-58.948,-51.246,-51.0577,WGS84,"1) Al Baylis

2)SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands

3)Falkland Islands Government - Environmental Planning Department","1) al_baylis@yahoo.com.au

2) datamanager@saeri.org

3) environmental.officer@sec.gov.fk","1) owner, originator, point of contact, 2) custodian
 
3) user",annually,"Restricted, send data request to data owner","Intellectual property rights apply and data should be cited as Baylis AMM, Orben RA, Arnould JPY, Christiansen F, Hays GC, Staniland IJ (2015) Disentangling the cause of a catastrophic population decline in a large marine mammal. Ecology .","csv, excel, shape",unknown,2014-09-04,al_baylis@yahoo.com.au,Dataseries,ABaylis_sealions_census2014,111,1
FK,EPD,112,FK-EPD-112,Southern Sea Lion tracks 2011-2014 (raw data),eng,"The dataseries comprises of the tracks (25 GPS, 12 platform terminal transmitter (PTT)) of 37 adult female southern sea lions tagged in Big Shag Island, Kelp Islands and Turn Island. The survey takes place every year, during the summer, and started in 2011",biota,"Falkland Islands, southern sea lion, tracking data, female adults, Otaria flavescens",2011-01-01,2014-12-31,2014,"The dataseries comprises of the tracks (25 GPS, 12 PTT) of 37 adult female southern sea lions. The data were collected at Big Shag Island, Kelp Islands and Turn Island in the Falkland Islands during summer. Deployments at Big Shag were repeated from 2011 to 2014.  Data were published in Baylis AMM, Orben RA, Peters K, Knox T, Arnould J, Costa DP, Staniland IJ (2015). Diving deeper into individual foraging specializations of a large marine predator, southern sea lions. Oecologia.",-59.0167,-52.132,-58.3166,-51.395,WGS84,"1) Al Baylis

2)SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands


3)Falkland Islands Government - Environmental Planning Department","1) al_baylis@yahoo.com.au

2) datamanager@saeri.org

3) environmental.officer@sec.gov.fk","1) owner, originator, point of contact, 2) custodian
 
3) user",annually,"Restricted, send data request to data owner","Intellectual property rights apply and data should be cited as Baylis AMM, Orben RA, Peters K, Knox T, Arnould J, Costa DP, Staniland IJ (2015). Diving deeper into individual foraging specializations of a large marine predator, southern sea lions. Oecologia.","csv, excel, shape",unknown,2014-09-04,al_baylis@yahoo.com.au,Dataseries,Southern_seaLion_tracks_2011_2014,112,1
FK,EPD,113,FK-EPD-113,Southern Sea Lion PTT tracks 2011-2012,eng,The dataseries comprises of platform terminat transmitter (PTT) tracks of 10 juvenile southern sea lion tagged in Cape Dolphin and Port Harriet in the Falkland Islands. The survey was repeated for two years.,biota,"Falkland Islands, southern sea lion, tracking data, juveniles, Otaria flavescens ",2011-01-01,2012-12-31,2012,The dataseries comprises of platform terminat transmitter (PTT) tracks of 10 juvenile southern sea lion tagged in Cape Dolphin and Port Harriet in the Falkland Islands. The survey was repeated for two years (2011 and 2012) and took place in the winter. Data is yet to be published.,-58.9604,-51.7396,-57.8617,-51.2403,WGS84,"1) Al Baylis

2)SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands


3)Falkland Islands Government - Environmental Planning Department","1) al_baylis@yahoo.com.au

2) datamanager@saeri.org

3) environmental.officer@sec.gov.fk","1) owner, originator, point of contact, 2) custodian
 
3) user",annually,"Restricted, send data request to data owner","Intellectual property rights apply. Data should be cited as Baylis AMM, Orben RA, Arnould JPY, Christiansen F, Hays GC, Staniland IJ (2015) Disentangling the cause of a catastrophic population decline in a large marine mammal. Ecology","csv, excel, shape",unknown,2014-09-04,al_baylis@yahoo.com.au,Dataseries,Southern_seaLion_PTTtracks_2011_2012,113,1
FK,EPD,114,FK-EPD-114,Southern Sea Lion PTT and GPS tracks 2014-2015,eng,The dataseries comprises of platform terminat transmitter (PTT) tracks of 10 adult male southern sea lions tagged at Big Shag Island in the Falkland Islands. The survey took place in summer 2014. Argos-linked GPS tags of four (4) adult male southern sea lions at Cape Dolphin. Deployments took place in winter 2015 (the reference for the Argos GPS data is FK-SAERI-261).,biota,"Falkland Islands, southern sea lion, tracking data, male adults, GPS, PTT",2014-01-01,2015-12-31,2015,The dataseries comprises of platform terminat transmitter (PTT) tracks of 10 adult male southern sea lions tagged at Big Shag Island in the Falkland Islands and Argos-linked GPS tags of four (4) adult male southern sea lions at Cape Dolphin. The survey took place in summer 2014 (PTT) and winter 2015 (GPS). Data is yet to be published.,-58.9692,-51.3949,-58.316,-51.234,WGS84,"1) Al Baylis

2)SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands


3)Falkland Islands Government - Environmental Planning Department","1) al_baylis@yahoo.com.au

2) datamanager@saeri.org

3) environmental.officer@sec.gov.fk","1) owner, originator, point of contact, 2) custodian
 
3) user",annually,"Restricted, send data request to data owner","Intellectual property rights apply. Cite as: Baylis, A. M. M., Orben, R., Costa, D., Arnould, J. & Staniland, I. 2016 Sexual segregation in habitat use is smaller than expected in a highly dimorphic marine predator, the southern sea lion. Mar. Ecol. Prog. Ser. 554, 201-211.","csv, excel, shape",unknown,2014-09-04,al_baylis@yahoo.com.au,Dataseries,Southern_seaLion_PTTtracks_2014,114,1
FK,SAERI,115,FK-SAERI-115,Digital Elevation Model for the Falkland Islands obtained from the Shuttle Radar Topography Mission (SRTM),eng,The Shuttle Radar Topography Mission (SRTM) obtained elevation data on a near-global scale to generate the most complete high-resolution digital topographic database of Earth. SRTM consisted of a specially modified radar system that flew onboard the Space Shuttle Endeavour during an 11-day mission in February of 2000. SRTM is an international project spearheaded by the National Geospatial-Intelligence Agency (NGA) and the National Aeronautics and Space Administration (NASA). The resolution is 90 metres.,imagery base maps earth cover,"Falkland Islands, digital elevation model, SRTM, elevation, DEM",2001-01-01,2001-12-31,2001,"The digital elevation model comes from SRTM3 a 3 arc second dataset (approximately 90 metres resolution). The file is available online and the height files have an extension .hgt and are signed 2 byte integers. http://dds.cr.usgs.gov/srtm/version2_1/SRTM3/
Data come in hgt extension and need to be resaved as .bil in order to be read by GIS software.",-62.8405,-53.4652,-56.3872,-50.53355,WGS84,NASA - http://www2.jpl.nasa.gov/srtm/,http://www2.jpl.nasa.gov/srtm/contact.htm,"originator, author, publisher, point of contact, resource provider, custodian ",unknown,Open Access,Open Access,tiff,unknown,2014-08-11,imarengo@env.institute.ac.fk,Dataset,Falkland_SRTM,115,1
FK,SAERI,116,FK-SAERI-116,Water height differences calculated from ports around the Falkland Islands to Stanley,eng,The dataset provides information on water height at several ports arounf the Falkland Islands calculated as differences from the water level recorded in Stanley. Data are annual means.,oceans,"Falkland Islands, height difference, tide correction, tide",2014-01-01,2014-12-31,2014,"The points were taken from the Admiralty tide tables. The information provided by the file is: lat/long of the ports; height differences calculated for Mean High High Water; Mean Low High Water, Mean High Low Water, and Mean Low Low Water. All measures are in metres and the difference is from the water height at Stanley Harbour. The original pdf can be provided. Height refer to annual means.",-60.8333,-52.2667,-57.8667,-51.4167,WGS84,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"originator, distributor, point of contact, custodian",unknown,Open Access,Open Access,"csv, shape",unknown,2014-08-11,imarengo@env.institute.ac.fk,Dataset,tidal_points_stanley,116,1
FK,SAERI,117,FK-SAERI-117,Water height differences calculated from ports in West Falkland to Punta Loyola,eng,The dataset provides information on water height at several ports in West Falkland calculated as differences from the water level recorded in Punta Loyola (Argentina). Data are annual means.,oceans,"Falkland Islands, height difference, tide correction, tide",2014-01-01,2014-12-31,2014,"The points were taken from the Admiralty tide tables. The information provided by the file is: lat/long of the ports; height differences calculated for Mean High Water Spring; Mean High Water Neap, Mean Low Water Neap, and Mean Low Water Spring. All measures are in metres and the difference is from the water height at Punta Loyola. The original pdf can be provided. Height refer to annual means.",-61.3,-51.9833,-59.45,-51.3167,WGS84,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"originator, distributor, point of contact, custodian",unknown,Open Access,Open Access,"csv, shape",unknown,2014-08-11,imarengo@env.institute.ac.fk,Dataset,tidal_points_puntaLoyola,117,1
FK,SAERI,118,FK-SAERI-118,Benthic infaunal baseline survey data of the sediments around the exploration Well 14/09-A Little Blue,eng,"Collected in 0.1m2 grab sample. Sieved in field through 500?m sieve. Washed samples fixed in 10% formalin and stained with Rose Bengal. Two samples with greatest volume at each station (nominally the A and B samples) were sent for further sorting and analysis. Third sample retained, but not sorted. Samples washed again in laboratory through 500?m sieve then hand sorted. Organisms identified to a range of taxonmic resolutions including Family, genus, species and morphospecies. Taxa grouped by phyla and then species within each phyla. Where identidication unsure or unknown, species designation is to a higher taxonomic level. Where genus know, but unique unidentified species designated with an alphabetical code after Genus (i.e. A, B, C etc.). Where positive identification was not possible because of damage, or because they were juveniles, these are designated by 'damaged' or 'juv.' respectively after the lowest identifiable taxonomic level. DMR Associates (Dr M. Sheader) Oceanography Department SOC, Southhampton, SO14 3ZH",biota,"Falkland Islands, benthic, sediment data, grab sample, invertebrates",1998-02-23,1998-02-25,1998,"Format modified by David Blockley (14/07/2014) from original data, contained in Gardline, 1998. Benthic Environmental Baseline Survey of the Sediments around the exploration Well ""Little Blue-A"" February 1998, Gardline Surveys Limited.",323000,4533500,338000,4546000,TM CM 60W,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"custodian, processor",one off,Open Access,Open but Intellectul Property Rights apply,excel,"Differential GPS accuracy to within 5 m, Identification of some invertebrate taxa questionable due to poor taxonomic understanding of offshore benthic species around Falkland Islands probably accurate to genus for most, or family where indicated.",2014-07-13,DBlockley@env.institute.ac.fk,Dataset,Benthic infaunal baseline survey data of the sediments around the exploration Well 14/09-A Little Blue,118,1
FK,SAERI,119,FK-SAERI-119,Benthic baseline sites of survey of the sediments around the exploration Well 14/09-A Little Blue,eng,Coordinates and depths of individual grab sample locations for baseline sediment survey,biota,"Falkland Islands, benthic, sediment data, grab sample",1998-02-23,1998-02-25,1998,"Format modified by David Blockley (14/07/2014) from original data, contained in Gardline, 1998. Benthic Environmental Baseline Survey of the Sediments around the exploration Well ""Little Blue-A"" February 1998, Gardline Surveys Limited.",323000,4533500,338000,4546000,TM CM 60W,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"custodian, processor",one off,Open Access,Open but Intellectul Property Rights apply,excel,Differential GPS accuracy to within 5 m,2014-07-13,DBlockley@env.institute.ac.fk,Dataset,Benthic baseline sites of survey of the sediments around the exploration Well 14/09-A Little Blue,119,1
FK,SAERI,120,FK-SAERI-120,Benthic infaunal baseline survey data of the sediments around the exploration Well 14/09-A Little Blue,eng,"Collected in 0.1m2 grab sample. Sieved in field through 500?m sieve. Washed samples fixed in 10% formalin and stained with Rose Bengal. Two samples with greatest volume at each station (nominally the A and B samples) were sent for further sorting and analysis. Third sample retained, but not sorted. Samples washed again in laboratory through 500?m sieve then hand sorted. Organisms identified to a range of taxonmic resolutions including Family, genus, species and morphospecies. Taxa grouped by phyla and then species within each phyla. Where identidication unsure or unknown, species designation is to a higher taxonomic level. Where genus know, but unique unidentified species designated with an alphabetical code after Genus (i.e. A, B, C etc.). Where positive identification was not possible because of damage, or because they were juveniles, these are designated by 'damaged' or 'juv.' respectively after the lowest identifiable taxonomic level. DMR Associates (Dr M. Sheader) Oceanography Department SOC, Southhampton, SO14 3ZH",biota,"Falkland Islands, benthic, sediment data, grab sample, invertebrates",1998-10-08,1998-10-10,1998,"Format modified by David Blockley (15/07/2014) from original data, contained in Gardline, 1999. Post-Drill Environmental Survey of the Sediments around the Exploration Well ""Little Blue- A"" - Final report October 1998, Gardline Surveys Limited.",322000,4533000,334000,4540000,TM CM 60W,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"custodian, processor",one off,Open Access,Open but Intellectul Property Rights apply,excel,"Differential GPS accuracy to within 5 m, Identification of some invertebrate taxa questionable due to poor taxonomic understanding of offshore benthic species around Falkland Islands probably accurate to genus for most, or family where indicated.",2014-07-15,DBlockley@env.institute.ac.fk,Dataset,Benthic infaunal baseline survey data of the sediments around the exploration Well 14/09-A Little Blue,120,1
FK,ABC,134,FK-ABC-134,Falkland Islands north and east off road tracks,eng,Distribution of off road tracks in the northern and eastern part of the Falklands. ,transportation,"Falkland Islands, offroad track, road, transportation",2014-01-01,2014-12-31,2014,The tracks were traced using Google Earth and they are subject to personal understanding of the main direction of the track. Many tracks faded and consequently it was possible to guess their direction. Hence no great amount of certainty and they should not be used as main reference for travelling. The names of the tracks were attributed considering where departed from and arrived to. Occasional loops and branches were named after geographical features.,-59.6988,-52.3471,-57.7207,-51.2374,WGS84,"1) Austral Biodiversity Ltd
Fitzroy Road
FIQQ 1ZZ
Stanley - 
Falkland Islands


2)SAERI
PO609
Stanley Cottage 
 
Ross Road  
Stanley - Falkland Islands","1) munro@horizon.co.fk

2) datamanager@saeri.org","1) owner,originator

2) user, resource provider, distributor, custodian",not planned,Open Access,Open Access,shape,between 100 and 200 metres,2014-08-04,munro@horizon.co.fk,Dataset,NE_offRoad_tracks,134,1
FK,ABC,135,FK-ABC-135,Falkland Islands north and east outhouses and shanties,eng,Distribution of outhouses and shanties in the northern and eastern part of the Falklands. ,society,"Falkland Islands, outhouse, shanty, building",2014-01-01,2014-12-31,2014,The outhouses and shanties were digitised from google earth. The names were taken from common the Ordnance Survey (OS) maps names and from local knowledge. ,-61.2326,-51.6332,-57.7777,-51.02,WGS84,"1) Austral Biodiversity Ltd
Fitzroy Road
FIQQ 1ZZ
Stanley - 
Falkland Islands


2)SAERI
PO609
Stanley Cottage 
 
Ross Road  
Stanley - Falkland Islands","1) munro@horizon.co.fk

2) datamanager@saeri.org","1) owner,originator

2) user, resource provider, distributor, custodian",not planned,Open Access,Open Access,shape,between 1 and 10 metres,2014-08-04,munro@horizon.co.fk,Dataset,NE_outhouses_shanties,135,1
FK,PWD,136,FK-PWD-136,Indicative Mount Pleasant Complex boundaries,eng,Indicative boundaries of the military complex of Mount Pleasant.,boundary,"Falkland Islands, military, Mount Pleasant, boundary",2015-01-01,2015-12-31,2015,The file reporesents the indicative boundaries of Mount Pleasant military base in the Falkland Islands. Boundaries are indicative as there is an ongoign discussion between the Falkland Islands Government and the UK Ministry of Defence (MOD),-58.5079,-51.9041,-58.4113,-51.8005,WGS84,"1) Falkland Islands Government - Public work department


2)SAERI
PO609
Stanley Cottage 
 
Ross Road  
Stanley - Falkland Islands","1) rchaloner@pwd.gov.fk

2) datamanager@saeri.org","1) owner,originator

2) user, resource provider, distributor, custodian",as needed,Open Access,No restriction but be aware that the boudaries are indicative and not officially approved.,shape,between 1 and 10 metres,2014-08-04,imarengo@env.institute.ac.fk,Dataset,MPC_WGS84_poly,136,1
FK,ABC,137,FK-ABC-137,Falkland Islands north and east jetties,eng,Distribution of jetties in the northern and eastern part of the Falklands,society,"Falkland islands, jetty",2014-01-01,2014-12-31,2014,The location of the jetties was derived from google earth and are split between in use and disused. The name of the jetty is derived from the location (island name or main settlement).,-59.7478,-52.4234,-58.2303,-51.428,WGS84,"1) Austral Biodiversity Ltd
Fitzroy Road
FIQQ 1ZZ
Stanley - 
Falkland Islands


2)SAERI
PO609
Stanley Cottage 
 
Ross Road  
Stanley - Falkland Islands","1) munro@horizon.co.fk

2) datamanager@saeri.org","1) owner,originator

2) user, resource provider, distributor, custodian",not planned,Open Access,Open Access,shape,between 1 and 50 metres,2014-08-04,munro@horizon.co.fk,Dataset,NE_jetties_ports,137,1
FK,ABC,138,FK-ABC-138,Falkland Islands north and east airstrips and helipads,eng,Distribution of airstrips and helipads in the northern and eastern part of the Falklands,society,"Falkland Islands, airstrip, helipad, transportation",2014-01-01,2014-12-31,2014,The position of the airstrips and helipads was obtained by digitising the points from google earth. All the airstrips and helipads are certified by Falkland Islands Government Air Service (FIGAS) and currently in use. The name is after the nearer settlement.   ,-59.7431,-52.4414,-57.7787,-51.6876,WGS84,"1) Austral Biodiversity Ltd
Fitzroy Road
FIQQ 1ZZ
Stanley - 
Falkland Islands


2)SAERI
PO609
Stanley Cottage 
 
Ross Road  
Stanley - Falkland Islands","1) munro@horizon.co.fk

2) datamanager@saeri.org","1) owner,originator

2) user, resource provider, distributor, custodian",not planned,Open Access,Open Access,shape,between 1 and 50 metres,2014-08-04,munro@horizon.co.fk,Dataset,NE_AirstripsHelipads,138,1
FK,SAERI,141,FK-SAERI-141,Harbour ships movements sites,eng,Boundaries of sites within the harbour area of Stanley where ship movements and anchorages are generally reported by the harbour master.,transportation,"Falkland Islands, marine traffic, harbour movement, vessel, harbour, ship movement",2014-01-01,2014-12-31,2014,"The data set was created by drawing ""free hands"" polygons around the areas that the harbour masters uses to count the number of vessels anchoring and arriving in Stanley. The term ""free hands"" means that the areas were drawn without using specific coordinates but by personal knowledge of the locations. ",429939.45,4272802.73,451241.73,4291071.09,UTM 28S WGS84,"SAERI
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands",datamanager@saeri.org,"originator, user, point of contact, custodian, resource distributor",unknown,Open Access,No restrictions,shape,Areas are only representatives and accuracy is approximately 500 metres.,2014-08-16,imarengo@env.institute.ac.fk,Dataset,Marine_harbour_areas,141,1
FK,SAERI,143,FK-SAERI-143,Census_2012_summary,eng,The table provides information on number of people living in the Falklands in 2012. Values are split by sex and census areas,society,"Falkland Islands, census, sex, count",2012-01-01,2012-12-31,2012,Census tables were provided by the Falkland Islands policy department. The dataset provides the count of population and the division in male female.  ,-61.4548,-52.9257,-57.6865,-50.9992,WGS84,Falkland Islands Government - Policy Department,jgamble@sec.gov.fk,"user, originator, resource provider, point of contact, custodian",every 6 years,Open Access,Open Access,csv,NA,2014-08-17,imarengo@env.institute.ac.fk,Dataset,census_2012_summary,143,1
FK,SAERI,144,FK-SAERI-144,Census_2006_summary,eng,The table provides information on number of people living in the Falklands in 2006. Values are split by sex and census areas,society,"Falkland Islands, census, sex, count",2006-01-01,2006-12-31,2006,Census tables were provided by the Falkland Islands policy department. The dataset provides the count of population and the division in male female.  ,-61.4548,-52.9257,-57.6865,-50.9992,WGS84,Falkland Islands Government - Policy Department,jgamble@sec.gov.fk,"user, originator, resource provider, point of contact, custodian",every 6 years,Open Access,Open Access,csv,NA,2014-08-17,imarengo@env.institute.ac.fk,Dataset,census_2006_summary,144,1
FK,PWD,145,FK-PWD-145,Falkland Islands Government Land Plan database,eng,"The file is the database kept by the Falkland Islands Public Work department with information on owners, addresses and type of transactions (lease, sale, mortgage, crown grant etc) occurred to land owned by the Falkland Island Government.  ",planning and cadastre,"Falkland Islands, planning, land, crown grant, sale, mortgage, lease, property, landownership",1991-01-01,2014-12-31,2014,"The database provides information on owners of the land in Stanley (Falkland Islands) and all the various transactions and modifications that the land, which is owned by the government, has undertaken throughout the years. There is mention of the date when a revision took place and the address of the plot of land. The database is kept by the public work department.",437505.96,4272011.27,443006.83,4273077,UTM 21S WGS84,Falkland Islands Government - Public Work Department,rchaloner@pwd.gov.fk,"originator, user, point of contact, publisher, author, owner, distributor",as needed,Open Access,Open Access,csv,NA,2014-11-06,imarengo@env.institute.ac.fk,Dataset,LandPlansTbl,145,1
